Company,Scenario,Entry_Multiple,IRR,Exit_Value,Remaining_Debt
INFY.NS,Base,8,0.48182275669485786,119657527179.82594,2942432940.169613
INFY.NS,Upside,8,0.5274380129610474,136202578904.12947,382587817.5691786
INFY.NS,Downside,8,0.4350992897495112,104760853448.8685,5322145601.117961
INFY.NS,Base,10,0.396652965317432,119657527179.82594,11140402828.547215
INFY.NS,Upside,10,0.44269317124359087,136202578904.12947,8580557705.946776
INFY.NS,Downside,10,0.349045539401748,104760853448.8685,13520115489.495564
INFY.NS,Base,12,0.32565152528841335,119657527179.82594,19338372716.924816
INFY.NS,Upside,12,0.3726852379320371,136202578904.12947,16778527594.324379
INFY.NS,Downside,12,0.27647691981798084,104760853448.8685,21718085377.87316
HINDUNILVR.NS,Base,8,0.4259802865421136,3233923339284.165,182459884091.10382
HINDUNILVR.NS,Upside,8,0.4729451120420485,3696298522037.9385,108125450013.30026
HINDUNILVR.NS,Downside,8,0.3775745360168119,2819022434671.4004,251489064155.485
HINDUNILVR.NS,Base,10,0.3396923102716005,3233923339284.165,442177351289.40137
HINDUNILVR.NS,Upside,10,0.3876452013180194,3696298522037.9385,367842917211.5979
HINDUNILVR.NS,Downside,10,0.2896448161197074,2819022434671.4004,511206531353.7825
HINDUNILVR.NS,Base,12,0.2667396188801825,3233923339284.165,701894818487.699
HINDUNILVR.NS,Upside,12,0.3163931124857551,3696298522037.9385,627560384409.8955
HINDUNILVR.NS,Downside,12,0.21412611451102426,2819022434671.4004,770923998552.0798
RELIANCE.NS,Base,8,0.5009202904511338,51451378170093.484,773830687950.438
RELIANCE.NS,Upside,8,0.5445538326953656,58484757423378.94,0.0
RELIANCE.NS,Downside,8,0.4546864837612927,45111553233139.51,1772994573504.745
RELIANCE.NS,Base,10,0.41597600606048424,51451378170093.484,4112612504723.1616
RELIANCE.NS,Upside,10,0.4614615412377192,58484757423378.94,3038221938998.5425
RELIANCE.NS,Downside,10,0.3690648551702711,45111553233139.51,5111776390277.468
RELIANCE.NS,Base,12,0.34544751992349787,51451378170093.484,7451394321495.887
RELIANCE.NS,Upside,12,0.3917355772666975,58484757423378.94,6377003755771.266
RELIANCE.NS,Downside,12,0.2972303733479824,45111553233139.51,8450558207050.192
ITC.NS,Base,8,0.44379085387545025,6083878966478.443,277459044734.4715
ITC.NS,Upside,8,0.49029232081978535,6944490874339.84,140803850212.0556
ITC.NS,Downside,8,0.3959661049852021,5310786444017.592,404404238703.65234
ITC.NS,Base,10,0.35794047458837164,6083878966478.443,741918280648.658
ITC.NS,Upside,10,0.40523146951280986,6944490874339.84,605263086126.2422
ITC.NS,Downside,10,0.30874429067551223,5310786444017.592,868863474617.8387
ITC.NS,Base,12,0.2857123860782935,6083878966478.443,1206377516562.8445
ITC.NS,Upside,12,0.33445059178166603,6944490874339.84,1069722322040.4287
ITC.NS,Downside,12,0.234313821170679,5310786444017.592,1333322710532.0251
